When your vehicle is in an intersection and you notice an emergency vehicle is approaching from behind, you must stop there immediately.		false	You must not stop immediately. You must avoid intersection, move to the left and stop.
When passing a railroad crossing where visibility is good or where there is a gateman, you just have to slow down.		false	Even if visibility is good or there is a gateman, you must stop before the railroad crossing.
This side strip indicates parking or stopping is prohibited.	img-x-03044-x-03-x-A-x-駐停車禁止路側帯.gif	true	Correct
When you approach a pedestrian crossing and a pedestrian is crossing on it, you slow down and pass the pedestrian crossing while paying attention not to disturb the passage of the pedestrian.		false	When a pedestrian is crossing a pedestrian crossing, you must stop before the pedestrian crossing and yield to the pedestrian.
When the surface of the roads changes, the braking distance will also change even in a same speed.		true	Correct
This road sign indicates vehicles must slow down and paying attention to pedestrians.	img-x-original-x-01-x-A-x-1規制-32歩行者専用.jpg	false	This road sign indicates pedestrians only. Vehicles must not drive if they do not have a permission issued by a police chief.
When you change lane or make a U-turn, you are required to check safety using a rearview mirror etc. before hand and signal with the indicator.		true	Correct
When a vehicle is stopping in front of a pedestrian crossing, drivers must temporary stop before passing that vehicle.		true	Correct
This road sign indicates motor vehicles and mopeds are prohibited from entering.	img-x-original-x-01-x-A-x-1規制-11車両通行止め.jpg	true	Correct
The wheelbase differential means that a vehicles front wheels move farther inside than its rear wheels.		false	A vehicle rear wheels move farther inside than its front wheels when turning.
You are allowed to drive on public roads with your learner drivers permit only on the purpose of driving lessons or driving examination.		true	Correct
Where the side strip is wider than 0.75m, you must not enter to park your vehicle if the side strip is marked with two white lines.		true	Correct
For the seating capacity of a vehicle, three children under 12 years old are counted as two adults.		true	Correct
When you drive an automatic transmission with the gear shift in D, engine brake does not work well. So when driving on long down inclines, you’d better control your speed by using the foot brake.		false	If you noticed your engine brake does not work well, you should change the change lever to the lower gear to use stronger engine brake.
Near the entrance or exit of a tunnel is a place where you must slow down.		false	You should just reduce a speed.
This road sign indicates only regular motor vehicles are prohibited to enter.	img-x-original-x-01-x-A-x-1規制-04二輪自動車以外.jpg	false	This road sign is “Closed to all vehicles except motorcycles”. Not only regular motor vehicles but also any kinds of 4 wheels motor vehicles are prohibited from entering. Only 2 wheels vehicle may enter.
A bus stopped at a bus stop and signaled to start, I stopped behind the bus and let the bus start.		true	Correct
When you are tired or worried, you should drive slowly because you may be careless.		false	When you are tired or worried, you must not drive even you drive slowly.
This road marking indicates there is an intersection ahead.	img-x-original-x-03-x-B-x-8指示-15前方優先道路.jpg	false	This road marking indicates priority road (right of way) ahead.
Taking a correct driving posture, adjust your seat to the position that your elbows should be slightly bend when you hold the steering wheel with your both hands.		true	Correct.
You should give signals for a turning to the left from the place of 30 meters to the place where you finish turning.		true	Correct
When there is a regular motor vehicle with a senior drivers sign, you must not overtake or pass that vehicle.		false	You may overtake a regular motor vehicle with a senior driver’s sign in a safe way.
When approaching a pedestrian crossing or bicycle crossing zone, drivers must proceed at a speed that allows to stop in front of it at any time.		false	Driver must proceed at a speed that allows to stop only when the driver is no sure whether there are some pedestrians or bicycles trying to cross the pedestrian crossing or bicycle crossing zone, or not.
On a road without a sidewalk or side strip, 0.5m from the edge of the road is considered as the hard shoulder, motor vehicles except 2-wheelers must not drive on it.		true	Correct
This road sign indicates maximum speed limit is 50km/hr. No vehicles can drive faster than this speed limit.	img-x-original-x-01-x-A-x-1規制-26最高速度.jpg	true	correct
The legal maximum speed for regular motor vehicle on a general road is 50 km/hr.		false	It is 60 km/hr.
Even a few hours after drinking, there is possibility that you might be considered to be driving under the influence on alcohol. Judging from this possibility, you must not drive.		true	Correct
When drive near a school bus which has stopped to pick up/drop off pupils, drivers must slow down and check safety.		true	Correct
When passing-by an oncoming vehicle on a road with an obstacle, vehicles on the side of the obstacle must give way to the oncoming vehicle.		true	Correct
When you give way to the emergency vehicle other than on or near an intersection, you must always pull over to the left hand side of the road and stop.		false	You do not need to stop always. The rule is “you must pull over to the left hand side of the road” only.
When driving, you should set your seat position which will allow you to straighten your leg completely when you press the clutch pedal.		false	Should be slightly bent when pressing the clutch pedal.
A learner driver’s permit will not be suspended or revoked even if you commit a traffic violation or cause a traffic accident.		false	A “learner driver’s permit” will be also suspended or revoked if you commit a traffic violation or cause a traffic accident.
A safe distance between vehicles is a distance as same as or longer than the stopping distance. You need at least 22m between vehicles when driving at 40km/h.		true	Correct
When making a left turn to enter a gas station on your left side, you must move as close as possible to the left hand side of the road just before making a left turn.		false	You must move as close as possible to the left hand side of the road 30m before making a left turn.
A pedestrian was crossing at an intersection without a pedestrian crossing, you slow downed while paying attention not to disturb his passage.		true	Correct
When a person possessing a interim-license drives a vehicle on the public roads to practice, you must practice driving under the instruction of a person who has a valid license to drive that vehicle.		false	When you drive with an interim-license, you must drive with an accompany adult with a valid license more than 3 years.
